glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a
NArySummation,summation,153,153,,,,,
NAryProduct,product,154,154,,,,,
GrSmPi,pi,155,155,,,,,
Integral,integral,156,156,,,,,
FemOrdIndicator,ordfeminine,157,157,,ss01,,,00AA
MascOrdIndicator,ordmasculine,158,158,,,,,
OhmSgn,Omega,159,159,,,,,
LtnSmAe,ae,160,160,,,,,
LtnSmOStrk,oslash,161,161,,,,,
InvQstnMrk,questiondown,162,162,,,,,
InvExclamationMrk,exclamdown,163,163,,,,,
NotSgn,logicalnot,164,164,,,,,
SqrRoot,radical,165,165,,,,,
LtnSmFHook,florin,166,166,,,,,
AlmostEqTo,approxequal,167,167,,,,,
Increment,Delta,168,168,,,,,
LftPtngDblAngQuotMrk,guillemotleft,169,169,,,,,
RtPtngDblAngQuotMrk,guillemotright,170,170,,,,,
HorizEllipsis,ellipsis,171,171,,,,,
NoBreakSpace,uni00A0,172,172,,,,,
LtnCapAGrave,Agrave,173,173,,,,,
LtnCapATilde,Atilde,174,174,,,,,
LtnCapOTilde,Otilde,175,175,,,,,
LtnCapLigOe,OE,176,176,,,,,
LtnSmLigOe,oe,177,177,,,,,
EnDash,endash,178,178,,,,,
EmDash,emdash,179,179,,,,,
LftDblQuotMrk,quotedblleft,180,180,,,,,
RtDblQuotMrk,quotedblright,181,181,,,,,
LftSglQuotMrk,quoteleft,182,182,,,,,
RtSglQuotMrk,quoteright,183,183,,,,,
DivSgn,divide,184,184,,,,,
Lozenge,lozenge,185,185,,,,,
LtnSmYDiaer,ydieresis,186,186,,,,,
LtnCapYDiaer,Ydieresis,187,187,,,,,
FracSlash,fraction,188,188,,,,,
CurrSgn,currency,189,189,,,,,
SglLftPtngAngQuotMrk,guilsinglleft,190,190,,,,,
SglRtPtngAngQuotMrk,guilsinglright,191,191,,,,,
LtnSmLigFi,fi,192,192,,,,,
LtnSmLigFl,fl,193,193,,,,,
DblDagger,daggerdbl,194,194,,,,,
MiddleDot,periodcentered,195,195,,,,,
SglLow9QuotMrk,quotesinglbase,196,196,,,,,
DblLow9QuotMrk,quotedblbase,197,197,,,,,
PerMilleSgn,perthousand,198,198,,,,,
LtnCapACircum,Acircumflex,199,199,,,,,
LtnCapECircum,Ecircumflex,200,200,,,,,
LtnCapAAcute,Aacute,201,201,,,,,
LtnCapEDiaer,Edieresis,202,202,,,,,
LtnCapEGrave,Egrave,203,203,,,,,
LtnCapIAcute,Iacute,204,204,,,,,
LtnCapICircum,Icircumflex,205,205,,,,,
LtnCapIDiaer,Idieresis,206,206,,,,,
LtnCapIGrave,Igrave,207,207,,,,,
LtnCapOAcute,Oacute,208,208,,,,,
LtnCapOCircum,Ocircumflex,209,209,,,,,
DottedCirc,uni25CC,210,210,,,,,
LtnCapOGrave,Ograve,211,211,,,,,
LtnCapUAcute,Uacute,212,212,,,,,
LtnCapUCircum,Ucircumflex,213,213,,,,,
LtnCapUGrave,Ugrave,214,214,,,,,
LtnSmDotlessI,dotlessi,215,215,,,,,
ModCircumAccent,circumflex,216,216,,,,,
SmTilde,tilde,217,217,,,,,
Macron,macron,218,218,,,,,
Breve,breve,219,219,,,,,
DotAbv,dotaccent,220,220,,,,,
RingAbv,ring,221,221,,,,,
Cedilla,cedilla,222,222,,,,,
DblAcuteAccent,hungarumlaut,223,223,,,,,
Ogonek,ogonek,224,224,,,,,
Caron,caron,225,225,,,,,
LtnSmA.2StorySItal,a.2StorySItal,1000.11,1000.11,ss05,ss05,,0061,0061
CySmA,uni0430,1000.15,1000.15,,,,,
LtnSubSmA,uni2090,1000.21,1000.21,,ss01,,,2090
LtnSubSmA.SngStory,uni2090.SngStory,1000.2114,1000.2114,ss01,,,2090,
CySubSmA,u1E051,1000.215,1000.215,,,,,
LtnSupSmA,uni1D43,1000.22,1000.22,,ss01,,,1D43
LtnSupSmA.SngStory,uni1D43.SngStory,1000.2214,1000.2214,ss01,,,1D43,
ModCySmA,u1E030,1000.225,1000.225,,,,,
CombLtnSmA,uni0363,1000.24,1000.24,,ss01,,,0363
CombLtnSmA.SngStory,uni0363.SngStory,1000.2414,1000.2414,ss01,,,0363,
LtnSmADblGrave,uni0201,1000.314,1000.314,,ss01,,,0201
LtnSmACircumDotBlw,uni1EAD,1000.321,1000.321,,ss01,,,1EAD
LtnSmACircumAcute,uni1EA5,1000.32311,1000.32311,,ss01,,,1EA5
LtnSmACircumAcute.VN,uni1EA5.VN,1000.323111,1000.323111,cv75,cv75,,1EA5,1EA5
LtnSmACircumAcute.2StorySItal,uni1EA5.2StorySItal,1000.323111,1000.323111,ss05,ss05,,1EA5,1EA5
LtnSmACircumAcute.2StorySItal.VN,uni1EA5.2StorySItal.VN,1000.323111,1000.323111,,,,1EA5,1EA5
LtnSmACircumGrave,uni1EA7,1000.32313,1000.32313,,ss01,,,1EA7
LtnSmACircumGrave.VN,uni1EA7.VN,1000.323131,1000.323131,cv75,cv75,,1EA7,1EA7
LtnSmACircumGrave.2StorySItal,uni1EA7.2StorySItal,1000.323131,1000.323131,ss05,ss05,,1EA7,1EA7
LtnSmACircumGrave.2StorySItal.VN,uni1EA7.2StorySItal.VN,1000.323131,1000.323131,,,,1EA7,1EA7
LtnSmACircumTilde,uni1EAB,1000.3234,1000.3234,,ss01,,,1EAB
LtnSmACircumTilde.VN,uni1EAB.VN,1000.32341,1000.32341,cv75,cv75,,1EAB,1EAB
LtnSmACircumTilde.2StorySItal.VN,uni1EAB.2StorySItal.VN,1000.323411,1000.323411,,,,1EAB,1EAB
LtnSmACircumTilde.2StorySItal,uni1EAB.2StorySItal,1000.323411,1000.323411,ss05,ss05,,1EAB,1EAB
LtnSmACircumHookAbv,uni1EA9,1000.3238,1000.3238,,ss01,,,1EA9
LtnSmACircumHookAbv.VN,uni1EA9.VN,1000.32381,1000.32381,cv75,cv75,,1EA9,1EA9
LtnSmACircumHookAbv.2StorySItal,uni1EA9.2StorySItal,1000.323811,1000.323811,ss05,ss05,,1EA9,1EA9
LtnSmACircumHookAbv.2StorySItal.VN,uni1EA9.2StorySItal.VN,1000.323811,1000.323811,,,,1EA9,1EA9
LtnSmAInvBreve,uni0203,1000.331,1000.331,,ss01,,,0203
LtnSmABreve,abreve,1000.332,1000.332,,ss01,,,0103
LtnSmABreveDotBlw,uni1EB7,1000.3321,1000.3321,,ss01,,,1EB7
LtnSmABreveAcute,uni1EAF,1000.332311,1000.332311,,ss01,,,1EAF
LtnSmABreveAcute.VN,uni1EAF.VN,1000.332312,1000.332312,cv75,cv75,,1EAF,1EAF
LtnSmABreveAcute.2StorySItal.VN,uni1EAF.2StorySItal.VN,1000.332312,1000.332312,,,,1EAF,1EAF
LtnSmABreveGrave,uni1EB1,1000.332313,1000.332313,,ss01,,,1EB1
LtnSmABreveGrave.VN,uni1EB1.VN,1000.332314,1000.332314,cv75,cv75,,1EB1,1EB1
LtnSmABreveGrave.2StorySItal.VN,uni1EB1.2StorySItal.VN,1000.332314,1000.332314,,,,1EB1,1EB1
LtnSmABreveTilde,uni1EB5,1000.33234,1000.33234,,ss01,,,1EB5
LtnSmABreveTilde.VN,uni1EB5.VN,1000.332341,1000.332341,cv75,cv75,,1EB5,1EB5
LtnSmABreveTilde.2StorySItal.VN,uni1EB5.2StorySItal.VN,1000.332341,1000.332341,,,,1EB5,1EB5
LtnSmABreveHookAbv,uni1EB3,1000.33238,1000.33238,,ss01,,,1EB3
LtnSmABreveHookAbv.VN,uni1EB3.VN,1000.332381,1000.332381,cv75,cv75,,1EB3,1EB3
LtnSmABreveHookAbv.2StorySItal.VN,uni1EB3.2StorySItal.VN,1000.332381,1000.332381,,,,1EB3,1EB3
CySmABreve,uni04D1,1000.333,1000.333,,,,,
LtnSmACaron,uni01CE,1000.334,1000.334,,ss01,,,01CE
LtnSmAMacron,amacron,1000.35,1000.35,,ss01,,,0101
CySmADiaer,uni04D3,1000.361,1000.361,,,,,
LtnSmADiaerMacron,uni01DF,1000.3635,1000.3635,,ss01,,,01DF
LtnSmADotAbv,uni0227,1000.371,1000.371,,ss01,,,0227
LtnSmADotAbvMacron,uni01E1,1000.37135,1000.37135,,ss01,,,01E1
LtnSmARingAbvAcute,aringacute,1000.373331,1000.373331,,ss01,,,01FB
LtnSmARtHalfRing,uni1E9A,1000.374,1000.374,,ss01,,,1E9A
LtnSmAHookAbv,uni1EA3,1000.38,1000.38,,ss01,,,1EA3
LtnSmAEgAlef,uniA7BB,1000.39,1000.39,,ss01,,,A7BB
LtnSmADotBlw,uni1EA1,1000.471,1000.471,,ss01,,,1EA1
LtnSmARingBlw,uni1E01,1000.473,1000.473,,ss01,,,1E01
LtnSmAOgonek,aogonek,1000.62,1000.62,,ss01,,,0105
LtnSmAOgonek.RetroHook,aogonek.RetroHook,1000.63,1000.63,cv76,cv76,,0105,0105
LtnSmARetrHook,uni1D8F,1000.64,1000.64,,,,,
LtnSmAStrk,uni2C65,1000.75,1000.75,,ss01,,,2C65
LtnSmATilde.2StorySItal,atilde.2StorySItal,1001.34,1001.34,ss05,ss05,,00E3,00E3
LtnSmADotBlw.2StorySItal,uni1EA1.2StorySItal,1001.471,1001.471,ss05,ss05,,1EA1,1EA1
LtnSmAADigraph,uniA733,1002.1,1002.1,,,,,
LtnSmAODigraph,uniA735,1003.1,1003.1,,,,,
LtnSmAUDigraph,uniA737,1004.1,1004.1,,,,,
LtnSmAVDigraph,uniA739,1005.1,1005.1,,,,,
LtnSmAVDigraphStrk,uniA73B,1005.75,1005.75,,,,,
LtnSmAYDigraph,uniA73D,1006.1,1006.1,,,,,
LtnSmTurnedA,uni0250,1009.1,1009.1,,,,,
LtnSmTurnedA.2StorySItal,uni0250.2StorySItal,1009.11,1009.11,ss05,ss05,,0250,0250
LtnSupSmTurnedA,uni1D44,1009.22,1009.22,,,,,
LtnSmAlpha,uni0251,1010.1,1010.1,,,,,
LtnSmBarredAlpha,uniAB30,1010.1171,1010.1171,,,,,
LtnSmAStrk.2StorySItal,uni2C65.2StorySItal,1010.1175,1010.1175,ss05,ss05,,2C65,2C65
LtnSmA.SngStory,a.SngStory,1010.14,68,ss01,,,0061,
LtnSmAAcute.SngStory,aacute.SngStory,1010.14311,1010.14311,ss01,,,00E1,
LtnSmAGrave.SngStory,agrave.SngStory,1010.14313,1010.14313,ss01,,,00E0,
LtnSmADblGrave.SngStory,uni0201.SngStory,1010.14314,1010.14314,ss01,,,0201,
LtnSmACircum.SngStory,acircumflex.SngStory,1010.1432,1010.1432,ss01,,,00E2,
