# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

CyCapTshe,uni040B
LtnSmODiaerMacron.sc,uni022B.sc
LtnSmAHookAbv.2StorySItal,uni1EA3.2StorySItal
GrSmAlphaWVariaYpo,uni1FB2
InvExclamationMrk,exclamdown
CombMacron_Grave,uni1DC6
CombAsteriskBlw,uni0359
LtnSmYHook,uni01B4
LtnSmAStrk.2StorySItal,uni2C65.2StorySItal
LftArrw,arrowleft
PopDirFormatting,uni202C
TnContRt21,uni02E8.1
GrKaiSym,uni03D7
CyCapShha,uni04BA
LtnSmJCrossedTail.Dotless,uni029D.Dotless
LtnSmEDblGrave,uni0205
GrSmAlphaWPerisYpo,uni1FB7
ModCapRevN,uni1D3B
CombSqrBlw,uni033B
RomNumOneHundredThousand,uni2188
LtnSmCapOpnO,uni1D10
CyCapGheStrkDesc,uniF326
LtnCapABreveGrave.VN,uni1EB0.VN
LtnSmHStrk.VertStrk.sc,hbar.VertStrk.sc
LtnSmBHook.sc,uni0253.sc
CySmIDiaer,uni04E5
GrCapOmegaWDasiaPros,uni1FA9
GrCapOmegaWDasiaPerisPros.Por,uni1FAF.Por
LtnSmSaltillo.Lrg,uniA78C.Lrg
LtnSmABreveDotBlw,uni1EB7
GrSmAlphaWYpo,uni1FB3
LtnSmACaron.2StorySItal,uni01CE.2StorySItal
LtnSmAMacron.2StorySItal,amacron.2StorySItal
LtnCapTurnedHDep,uniF26B
LtnCapACircumGrave,uni1EA6
LtnCapFHook,uni0191
LtnSmTurnedM.sc,uni026F.sc
GrCapIotaWVrachy,uni1FD8
LtnSmA.sc,a.sc
LtnCapRevCMiddleDot,uniA73E
RomNumFiftyThousand,uni2187
CySmZheBreve.sc,uni04C2.sc
ModSmZRetrHookDep,uniF1C7
LtnSmADiaer.SngStory.LP,adieresis.SngStory.LP
LtnSmOu,uni0223
CySmHaStrkDep,uniF329
CySmLje.sc,uni0459.sc
LtnSmOHornAcute.sc,uni1EDB.sc
NotSubsetOf,uni2284
GrCapEtaWPsiliPros,uni1F98
LtnSmOStrk.sc,oslash.sc
LtnSmOCurl.sc,uniA74D.sc
TnContRt25,uni02E8.5
GrKoronis,uni1FBD
LftStemTnLtr5Dep,uniF1D0
LtnSmKStrk.sc,uniA741.sc
LtnSmSMiddleTilde,uni1D74
LtnCapKLineBlw,uni1E34
LtnSmYGrave.LP,ygrave.LP
GrCapAlphaWPsiliPeris,uni1F0E
LtnSmCapUBar,uni1D7E
LtnCapF.Sophia,compLtnCapF
LtnSmNLftHook.sc,uni0272.sc
GrCapOmegaWPsiliPerisPros,uni1FAE
LtnSmDBarredBowl.sc,dcroat.BarBowl.sc
GrSmEtaWDasiaYpo,uni1F91
CySmElMiddleHook,uni0521
GrPeris.Por,uni1FC0.Por
ModApos,uni02BC
LtnSmOODigraph.sc,uniA74F.sc
LtnCapJ.Sophia,compLtnCapJ
GrCapAlphaWDasiaPerisPros.Por,uni1F8F.Por
DblPrime,second
LtnSmOMacron.LP,omacron.LP
LtnSmECedillaBreve,uni1E1D
LtnSmADotAbv.2StorySItal,uni0227.2StorySItal
TnLtrNineSeg44.Lines,uniF1F4.Lines
LtnSmAOgonek.SngStory.sc,aogonek.SngStory.sc
NumSgn,numbersign
TnContLft44,uniA713.4
TnLtrNineSeg22.Lines,uniF1F2.Lines
VS2.ShowInv,uniFE01.ShowInv
LtnSmLigFi,fi
LtnSmABreveHookAbv.SngStory.sc,uni1EB3.SngStory.sc
TnLtrSeg55,compTnLtrSeg55
LtnSmRBarDep,uniF213
GrCapOmegaWDasiaPerisPros,uni1FAF
LtnSmLigFf,ff
LtnSupSmBarredODep,uniF1AC
LtnSmRamsHorn,uni0264
LtnSmTDotAbv,uni1E6B
LtnSmIHookAbv.SItal,uni1EC9.SItal
LtnSmTCurl,uni0236
CySmPeDesc.sc,uni0525.sc
EmptySet.SlashZero,emptyset.SlashZero
LtnCapTrndInsularG,uniA77E
ModVoicingDep,uniF1E8
LtnSmTDotBlw,uni1E6D
LtnSmVYDigraph.sc,uniA761.sc
LtnSmYAcute,yacute
ModPlusSgn,uni02D6
TnLtrNineSeg18.Lines,uniF1F1F1F8.Lines
LtnCapIHookAbv,uni1EC8
LtnSupSmEzhDep,uniF1B8
LtnSmUpsilon,uni028A
LtnSmSMiddleTildeDep,uniF251
GrCapIotaWVaria,uni1FDA
LtnSmDblBarredL,uni2C61
LtnCapPLowCurl,uniA752
LtnSmUDiaerAcute,uni01D8
LtnCapTCircumBlw,uni1E70
GrSmEtaWOxia,uni1F75
UpDwnArrwWBase,arrowupdnbse
GrSmOmega,omega
CyCapDzhe,uni040F
GrBetaSym,uni03D0
LtnCapIMacron,Imacron
LtnSmDBarredStem,dcroat
LtnSmKAcute.sc,uni1E31.sc
LtnSmDDotAbv.sc,uni1E0B.sc
SubsetOfEqTo,uni2286
LftPtngAngBrac,angleleft
SupplRtRaisedOmBrac,uni2E0D
ModChinantecTnMrkLowRtCornerDep,uniF19B
LtnCapLBar,uni023D
TnLtrNineSeg12.Lines,uniF1F1F1F2.Lines
LtnSmThornHighStrk.sc,uniA765.sc
LtnSmSDotAbv.sc,uni1E61.sc
GrCapOmicronWDasiaOxia,uni1F4D
TnLtrNineSeg92.Lines,uniF1F9F1F2.Lines
LtnCapD.Sophia,compLtnCapD
LtnSmWHookDep,uniF21A
LtnSmGDotAbv.sc,gdotaccent.sc
LtnSmACircumHookAbv.SngStory.sc,uni1EA9.SngStory.sc
LtnSupSmCapIDep,uniF1A8
CyCapHa,uni0425
LtnSmODiaer.LP,odieresis.LP
LtnSmYCircum.LP,ycircumflex.LP
GrSmEpsilonWPsiliOxia,uni1F14
GTOrEqTo,greaterequal
LtnSmA.2StorySItal,a.2StorySItal
LtnSmABreveTilde.SngStory,uni1EB5.SngStory
CySmGhe.sc,uni0433.sc
LtnSmTurnedYBelt,uniF267
LtnCapWHookDep,uniF21B
SWArrw,uni2199
TnLtrNineSeg29.Lines,uniF1F2F1F9.Lines
LtnSmADotAbvMacron.2StorySItal.LP,uni01E1.2StorySItal.LP
LtnSmRevOpnE.sc,uni025C.sc
LtnSmOAcute,oacute
LtnCapUDiaerCaron,uni01D9
CombGrDialTonos,uni0344
LtnSmZCaron.LP,zcaron.LP
LtnCapEMacronGrave,uni1E14
LtnSmLMiddleTilde,uni026B
GrSmEtaWDasiaVariaYpo,uni1F93
ModSmTPalHook,uni1DB5
LtnSmCBar.sc,uniA793.sc
LtnSmLBrkn.sc,uniA747.sc
CombDblTildeRt,uniFE23
TnLtr3no,uni02E7.no
LtnSmOOgonekMacron.RetroHook.LP,uni01ED.RetroHook.LP
LtnSmUe,uni1D6B
TnLtrNineSeg84.Lines,uniF1F8F1F4.Lines
CySmHa,uni0445
LtnSmEshCurl,uni0286
TnLtrSpcDotMiddle,compTnLtrSpcDotMiddle
GrCapDottedLunateSigma,uni03FE
LtnSmITildeBlw.sc,uni1E2D.sc
LtnCapPStrk,uni2C63
LtnSmRevOpnEHook,uni025D
LtnSmLCaron.sc,lcaron.sc
CyCapGheUpturn,uni0490
GrCapAlphaWPsili,uni1F08
LtnSmACircumGrave.2StorySItal,uni1EA7.2StorySItal
LtnSmAOgonek.SngStory,aogonek.SngStory
LtnCapUCircumBlw,uni1E76
LtnSmDBarredBowl,dcroat.BarBowl
LtnCapSmAlpha,uni2C6D
LtnSmITilde,itilde
LtnSmJStrk,uni0249
GrSmIotaWMacron,uni1FD1
LTOrEqTo,lessequal
LtnSmSDotAbv,uni1E61
CySmEDiaer,uni04ED
GrCapAlphaWPsiliPros,uni1F88
LtnSmACircumTilde.VN.LP,uni1EAB.VN.LP
ModCapHStrk,uniA7F8
LtnCapJCircum,Jcircumflex
CyCapKaHook,uni04C3
TnLtrNineSeg97,uniF1F9F1F7
LtnSmEzhCaron.sc,uni01EF.sc
LtnSmYDiaer,ydieresis
ModTnYinQu,uniA704
LtnCapTnFive,uni01BC
LtnSmAe,ae
LtnSmBBarredBowl,uni0180.BarBowl
LtnSmOMacron,omacron
LtnSmADiaer.SngStory,adieresis.SngStory
LtnSmAADigraph,uniA733
LtnSmARetrHookDep,uniF236
TnStaffRt1no,uni02E9.rstaffno
LtnSupSmRevOpnE,uni1D9F
LtnSmACircumGrave.2StorySItal.LP,uni1EA7.2StorySItal.LP
CySmHa.sc,uni0445.sc
LtnSmYMacron.LP,uni0233.LP
CySmCheDiaer.sc,uni04F5.sc
CombInvBreve.LL,uni0311.LL
LtnCapRCedilla,Rcommaaccent
LtnSmKDotBlw.sc,uni1E33.sc
GrSmAlphaWPsiliPeris.Por,uni1F06.Por
LtnCapCStrk,uni023B
MusicFlatSign,uni266D
LtnCapHwair,uni01F6
TnLtrNineSeg19.Lines,uniF1F1F1F9.Lines
LtnCapBLftMidHook,uniA796
LtnCapECedilla,uni0228
GrSmAlphaWOxiaYpo,uni1FB4
TnLtrNineSeg75.Lines,uniF1F7F1F5.Lines
HyphenMinus,hyphen
LtnSmYTilde.sc,uni1EF9.sc
.notdef,.notdef
Tilde,asciitilde
CombDblVertLineBlw,uni0348
LtnCapRBarredStemDep,uniF214
LtnCapDStrkHook,uniF20D
GrSmAlphaWVaria,uni1F70
LtnCapECircumTilde.VN,uni1EC4.VN
LtnSmEInvBreve,uni0207
LtnSmUCircum.LP,ucircumflex.LP
CySmAbkhasChe.sc,uni04BD.sc
LtnSmTCaron.Caron.LP,tcaron.Caron.LP
TnLtrNineSeg72,uniF1F7F1F2
LtnSmIHookAbv,uni1EC9
RomNumOne,uni2160
LtnSmTnTwo,uni01A8
TnLtrNineSeg93,uniF1F9F1F3
LtnAlveolarClick,uni01C2
TnLtrNineSeg73,uniF1F7F1F3
