# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

LtnSmEGrave,egrave
CombOgonek,uni0328
GrCapEpsilonWPsili,uni1F18
LtnSmGMacron.LP,uni1E21.LP
LtnSmRCaron,rcaron
ModRtArrwhd,uni02C3
LftRtDblArrw,arrowdblboth
TnLtr5,uni02E5
LtnSmECircumAcute.VN.sc,uni1EBF.VN.sc
LtnSmAtDep,uniF247
LtnSupSmTurnedAlphaDep,uniF1A0
LtnSmOpnE.sc,uni025B.sc
CaretInsPt,uni2041
LtnSmGAcute.sc,uni01F5.sc
LtnCapDblBarredLDep,uniF20F
LtnCapADblGrave,uni0200
CySmGje.sc,uni0453.sc
LtnCapEStrkDep,uniF221
LtnSmJStrk.Dotless,uni0249.Dotless
LtnSmIInvBreve.SItal,uni020B.SItal
LtnCapTDotAbv,uni1E6A
LtnSmABreveAcute.VN.LP,uni1EAF.VN.LP
LtnAin,uni1D25
LtnSubSmL,uni2097
LtnSmCapS,uniA731
LtnSubSmN,uni2099
LtnSubSmI,uni1D62
GrCapUpsilonWVrachy,uni1FE8
CySmIo,uni0451
LtnSubSmJ,uni2C7C
LtnCapOGrave,Ograve
LtnSmZMiddleTildeDep,uniF253
CySmIe,uni0435
LftToRtEmbedding,uni202A
LtnSmWCircum.LP,wcircumflex.LP
TnLtrNineSeg81,uniF1F8F1F1
LtnSmOu.sc,uni0223.sc
TnLtrNineSeg83,uniF1F8F1F3
CyCapAleutKa,uni051E
TnLtrNineSeg85,uniF1F8F1F5
LtnSmIRetrHook,uni1D96
TnLtrNineSeg87,uniF1F8F1F7
LtnSmRDblGrave,uni0211
LtnSubSmU,uni1D64
LtnSubSmT,uni209C
LtnSmABreveAcute.VN,uni1EAF.VN
LtnSubSmV,uni1D65
QuestionedEqTo,uni225F
LtnSmACircumAcute,uni1EA5
LtnSubSmS,uni209B
LtnSmUHornHookAbv,uni1EED
ModRaisedDwnArrw,uniA71C
FontBslnSideBrngMrkrLft,uniF130
LtnSmDCaron.Caron.LP,dcaron.Caron.LP
LtnSmLRetrHook,uni026D
TnLtrSeg11,compTnLtrSeg11
LtnSmIGrave.LP,igrave.LP
LtnCapLSmJ.LP,uni01C8.LP
LtnSmO.sc,o.sc
LtnSmOHornTilde,uni1EE1
LtnSmCapOpnO.TopSerif,uni1D10.TopSerif
WordJoiner.ShowInv,uni2060.ShowInv
LtnSmACircumHookAbv.SngStory.VN,uni1EA9.SngStory.VN
LtnSmARingAbvAcute.SngStory.sc,aringacute.SngStory.sc
CombCircumHook.VNLP,uni0302_hookabovecomb.VNLP
LtnCapRevF,uniA7FB
CySmJe.sc,uni0458.sc
LtnSmOHornAcute.LP,uni1EDB.LP
ModSmTheta,uni1DBF
LtnSmLigOe,oe
CySmIo.sc,uni0451.sc
CySmZheDesc.sc,uni0497.sc
EnDash,endash
LtnSmYogh,uni021D
CySmEnHook.sc,uni04C8.sc
LtnSupSmBarredO,uni1DB1
LtnSmCCaron,ccaron
LtnSmACircum.SngStory,acircumflex.SngStory
GrSmEtaWPerisYpo.Por,uni1FC7.Por
ModRaisedInvExclamationMrkDep,uniF19F
LtnSmATilde.LP,atilde.LP
CyCapVe,uni0412
LtnSmURetrHook,uni1D99
HryvniaSign,uni20B4
LtnCapUpsilon,uni01B1
GrSmEtaWPsiliPeris,uni1F26
LtnSmAHookAbv,uni1EA3
GrSmOmicron,omicron
LtnSmAGrave.2StorySItal.LP,agrave.2StorySItal.LP
LtnSmACircumHookAbv.VN.sc,uni1EA9.VN.sc
LftBtmSqrBrac,uni23A3
LtnSmEMacronGrave,uni1E15
CombGrPeris,uni0342
LtnCapNSmJ,uni01CB
CySmKomiDzje,uni0507
LtnSmTresilloDep,uniF245
CombSnakeBlw,uni1DC2
GrSmEtaWPsili,uni1F20
LtnSmDHook.TopBar.sc,uni0257.TopBar.sc
LtnSmLHighBar.sc,uniA749.sc
LtnSmADotAbv.2StorySItal.LP,uni0227.2StorySItal.LP
LtnSmOCaron.sc,uni01D2.sc
LtnSmZLineBlw.SItal,uni1E95.SItal
WonSgn,uni20A9
ModCapB,uni1D2E
LtnCapICaron,uni01CF
CyCapCheDesc,uni04B6
SupOne,onesuperior
CombDblLowLine,uni0333
GrSmEtaWDasiaPeris,uni1F27
LtnSmW.sc,w.sc
ModRaisedExclamationMrkDep,uniF19E
GrSmDigamma,uni03DD
GrSmGamma,gamma
LtnCapECircumHookAbv.VN,uni1EC2.VN
CombBreve_Macron,uni1DCB
GrSmIotaWDialVaria,uni1FD2
LtnSmECedillaBreve.sc,uni1E1D.sc
LtnCapYStrkDep,uniF244
LtnSmIGrave.SItal,igrave.SItal
LtnSmYLoop,uni1EFF
GrSmArchaicSampi,uni0373
DigitNine,nine
ModTurnedComma,uni02BB
CyCapQa,uni051A
GrCapEtaWPsiliPeris,uni1F2E
LtnSmLSDigraph,uni02AA
RtToLftMrk,uni200F
LtnSmKStrkRtDiagStrk,uniA745
ModRevGlottalStop,uni02C1
LtnSmKHook.sc,uni0199.sc
LtnSmGDiagStrk.sc,uniA7A1.sc
LtnSmUDiaerMacron.sc,uni01D6.sc
GrUpsilonWDiaerHookSym,uni03D4
CySmElHookDep,uniF323
LtnCapGCaron,Gcaron
LtnCapECedillaBreve,uni1E1C
GrCapUpsilon,Upsilon
CySmShortITail,uni048B
LtnCapUMacron,Umacron
LtnSmRevOpnERetrHookDep,uniF23A
LtnSmACircumAcute.SngStory.VN.LP,uni1EA5.SngStory.VN.LP
CySmCheDesc,uni04B7
TnContLft25,uniA712.2
LtnSmGCedilla,gcommaaccent
LtnSmOInvBreve,uni020F
TnContLft42,uniA715.4
GrDigamma,uni03DC
LtnCapHDesc,uni2C67
TnContLft22,uniA715.2
LtnCapAeMacron,uni01E2
RtPtngAngBrac,angleright
GrSampi,uni03E0
LtnSmACircumDotBlw.2StorySItal,uni1EAD.2StorySItal
LftMidCurlyBrac,uni23A8
LtnSmOOgonek.RetroHook.sc,uni01EB.RetroHook.sc
LtnSmCapI,uni026A
GrCapOmegaWDasiaPeris.Por,uni1F6F.Por
CySmSemisoftSgn,uni048D
LtnSmOAcute.sc,oacute.sc
LtnSmUDiaerGrave.LP,uni01DC.LP
CySmIzhitsa.sc,uni0475.sc
LtnSmTum,uniA777
CyCapODiaer,uni04E6
CyCapSha,uni0428
LtnSmCuatrillo,uniA72D
TnLtrNineSeg35.Lines,uniF1F3F1F5.Lines
LtnSmS.sc,s.sc
LtnCapRevP,uniA7FC
ModDwnTack,uni02D5
LtnSmSSwashTail.sc,uni023F.sc
Asterisk,asterisk
LtnSmUDblGrave.sc,uni0215.sc
LtnSmUTildeAcute.sc,uni1E79.sc
GrSmOmegaWDasiaVaria,uni1F63
GrSmAlphaWPsiliVaria,uni1F02
LtnSmOGrave.LP,ograve.LP
LtnCapRevE,uni018E
LtnSmAeMacron.2StorySItal,uni01E3.2StorySItal
CySmZeDesc.sc,uni0499.sc
LtnSmDCircumBlw,uni1E13
CombTildeBlw,uni0330
TnLtrNineSeg85.Lines,uniF1F8F1F5.Lines
LtnSmJCircum.sc,jcircumflex.sc
LtnSmOMacronAcute.sc,uni1E53.sc
CySmKomiTje.sc,uni050F.sc
LtnSmAlphaRetrHookDep,uniF237
CySmChe,uni0447
CySmE.sc,uni044D.sc
LtnSmLambdaStrk,uni019B
LtnSmSDotBlw.sc,uni1E63.sc
LtnSmRFishhookMiddleTilde,uni1D73
LtnCapICircum,Icircumflex
LtnSmAOgonek.RetroHook.sc,aogonek.RetroHook.sc
LtnSmTnTwo.sc,uni01A8.sc
LtnSmNDesc.sc,uniA791.sc
GrDialVaria,uni1FED
LtnCapVHook,uni01B2
LtnSmDPalHookDep,uniF226
LtnCapM,M
LtnCapL,L
LtnCapO,O
LtnCapN,N
LtnCapI,I
LtnCapH,H
LtnCapK,K
LtnCapJ,J
LtnCapE,E
LtnCapARingAbvAcute,Aringacute
CyCapLigTeTse,uni04B4
LtnCapF,F
LtnCapA,A
LtnCapC,C
LtnCapB,B
LtnSmOHookAbv,uni1ECF
GrCapDelta,uni0394
LtnCapY,Y
LtnCapX,X
GrSmUpsilonWDasiaOxia,uni1F55
LtnCapD,D
CySmElMiddleHook.sc,uni0521.sc
LtnCapT,T
LtnCapW,W
LtnCapV,V
LtnCapQ,Q
LtnCapG,G
CombXBlw,uni0353
LtnCapR,R
ThreePerEmSpace,uni2004
CyCapGheStrkHook,uni04FA
LtnSupSmClosedRevOpnE,uniF1A4
CySmSoftSgn.sc,uni044C.sc
LtnCapEng,Eng
LtnCapUBar,uni0244
VulgFracThreeEighths,threeeighths
LtnCapZDotAbv,Zdotaccent
LtnCapDLineBlw,uni1E0E
GrCapKappa,Kappa
ModChinantecTnMrkHorizBar,uni02C9.ChinantecTn
LtnCapHCircum,Hcircumflex
ModCapK,uni1D37
SubLftParen,uni208D
CyCapIMacron,uni04E2
GrSmEtaWDasiaOxia,uni1F25
KipSgn,uni20AD
CySmAleutKa,uni051F
ModRaisedColon,uni02F8
LtnCapGCircum,Gcircumflex
LtnLigSmFSmF.SItal,f_f.SItal
VulgFracZeroThirds,uni2189
LtnSmCapLBelt,uniF268
LtnSmAe.sc,ae.sc
CyCapZheDiaer,uni04DC
LtnCapOCircumAcute,uni1ED0
CySmEnHook,uni04C8
LtnSmNCedilla,ncommaaccent
OneDotLeader,onedotenleader
LtnSmABreveAcute.2StorySItal,uni1EAF.2StorySItal
LtnSmSSwashTail,uni023F
LtnSmUDiaer.sc,udieresis.sc
LtnSmADiaerMacron.2StorySItal,uni01DF.2StorySItal
GrRhoSym,uni03F1
GrPsiliOxia,uni1FCE
LtnSmYAcute.LP,yacute.LP
CyCapJe,uni0408
LtnSmDblBarredL.sc,uni2C61.sc
LtnSmGBarredBowl,uni01E5.BarBowl
LtnCapZ,Z
LtnSmLLineBlw,uni1E3B
CySmIDiaer.sc,uni04E5.sc
ModTnYangQu,uniA705
LtnCapU,U
LtnSmH.sc,h.sc
LtnSmOMacronGrave.LP,uni1E51.LP
LtnCapBHook,uni0181
CharTieBlw,uni203F
LtnCapPStrkDep,uniF25C
LtnCapRHookTailDep,uniF215
GrCapEtaWDasiaVaria,uni1F2B
LtnSmADotAbvMacron.SngStory.sc,uni01E1.SngStory.sc
LtnSmGDotAbv.SngBowl,gdotaccent.SngBowl
CySmEmTail,uni04CE
LtnSmCapB,uni0299
LtnSmOCircumHookAbv.LP,uni1ED5.LP
VS3.ShowInv,uniFE02.ShowInv
LtnSmABreveGrave.VN.sc,uni1EB1.VN.sc
CySmZheBreve,uni04C2
DigitOne,one
LtnCapP,P
GrCapOmegaWPsiliVaria,uni1F6A
ModAcuteAccent,uni02CA
FracSlash,fraction
LtnSmUBreve.sc,ubreve.sc
LtnCapOMacron,Omacron
LtnSmOTildeAcute,uni1E4D
LtnCapABreveHookAbv,uni1EB2
ModSmL,uni02E1
ModSmJ,uni02B2
ModEndHighTn,uni02FA
ModSmH,uni02B0
LtnCapQDiagStrk,uniA758
LtnSmSSwashTailDep,uniF256
CySmDje.sc,uni0452.sc
ModSmC,uni1D9C
GrSmIota,iota
CySmJe,uni0458
ModSmDelta,uni1D5F
LtnCapEzhRev,uni01B8
GrCapAlphaWDasiaPeris.Por,uni1F0F.Por
ModSmX,uni02E3
ModSmY,uni02B8
LtnSmEDotAbv,edotaccent
CruzeiroSgn,uni20A2
ModSmS,uni02E2
LtnCapYGrave,Ygrave
LtnSmDHook.sc,uni0257.sc
LtnSmVDiagStrk.sc,uniA75F.sc
LtnSmNGrave.sc,uni01F9.sc
SmRomNumEight,uni2177
LtnCapAInvBreve,uni0202
LtnSmRumRotunda,uniA75D
ModCapN,uni1D3A
LtnCapTRetrHook,uni01AE
CySmVe.sc,uni0432.sc
LtnSmNj.sc,uni01CC.sc
GrDottedLunateSigma,uni037C
LtnSmMPalHook,uni1D86
DotLftStemTnLtr2Dep,uniF1DD
LtnCapLDotBlwMacron,uni1E38
LtnCapOCircumTilde.VN,uni1ED6.VN
CySmShortU.sc,uni045E.sc
Cedilla,cedilla
ColonSgn,colonmonetary
LtnSmOpnO.TopSerif.sc,uni0254.TopSerif.sc
CySmChe.sc,uni0447.sc
LtnSmUAcute.sc,uacute.sc
LtnSmABreveAcute.SngStory.VN,uni1EAF.SngStory.VN
LtnSmGDiagStrk,uniA7A1
GrSmPi,pi
CySmYat,uni0463
LtnSmEBreve.sc,ebreve.sc
LtnSmE.sc,e.sc
LtnSmOStrkAcute.LP,oslashacute.LP
LtnSmZAcute.LP,zacute.LP
LtnCapYHook,uni01B3
ModSmTrndI,uni1D4E
LtnSmI.Dotless,i.Dotless
CySmYae,uni0519
GrSmCapPi,uni1D28
LtnSmIBreve.SItal,ibreve.SItal
GrCapOmicronWOxia,uni1FF9
LtnCapUInvBreve,uni0216
TnContRt44,uni02E6.4
LtnSmCapF,uniA730
LtnSmAlphaRetrHook,uni1D90
RtToLftMrk.ShowInv,uni200F.ShowInv
CySmDze,uni0455
LtnSmABreveHookAbv.VN.sc,uni1EB3.VN.sc
ModCapL,uni1D38
TnLtrNineSeg25.Lines,uniF1F2F1F5.Lines
ModSmCapUBar,uniF1CD
LtnSmI.sc,i.sc
LtnCapFDotAbv,uni1E1E
GrSmOmegaWVariaYpo,uni1FF2
LtnCapOCircumAcute.VN,uni1ED0.VN
LtnSmORingInside,uni2C7A
LtnSmGBarredSngBowl.sc,uni01E5.BarBowl.SngBowl.sc
LtnSmOu.OpenTop,uni0223.OpenTop
LtnSmACircum,acircumflex
CySmZeDesc,uni0499
CySmRevZe,uni0511
VS1,uniFE00
VS2,uniFE01
VS3,uniFE02
VS4,uniFE03
VS5,uniFE04
SupRtParen,uni207E
CombMacron.Short,uni0304.Short
SubOne,uni2081
CyCapUDblAcute,uni04F2
ModCapOu.OpenTop,uni1D3D.OpenTop
LftDblQuotMrk,quotedblleft
LtnSmSAcute.LP,sacute.LP
LtnSmRAcute.sc,racute.sc
LtnSmACircumGrave.LP,uni1EA7.LP
LtnSmSaltilloDep,uniF21D
CySmStraightU,uni04AF
CySmYat.sc,uni0463.sc
LtnSmNAcute.sc,nacute.sc
CyCapBarredODiaer,uni04EA
NewSheqelSgn,uni20AA
LtnSmRCedilla.sc,rcommaaccent.sc
LtnSmCapD,uni1D05
LtnSmADiaerMacron.LP,uni01DF.LP
LtnSmTurnedAlpha.sc,uni0252.sc
LtnSmOMacronAcute.LP,uni1E53.LP
GuaraniSign,uni20B2
MathFrktCapA,u1D504
LtnSmTCaron.sc,tcaron.sc
MathFrktCapG,u1D50A
LtnCapLSmJ.sc,uni01C8.sc
ModTriangularColon,uni02D0
LtnSupSmI.Dotless,uni2071.Dotless
MathFrktCapK,u1D50E
FigureSpace,uni2007
LtnSmABreveTilde.2StorySItal.LP,uni1EB5.2StorySItal.LP
MathRtWhiteSqrBrac,uni27E7
MathFrktCapM,u1D510
MathFrktCapL,u1D50F
MathFrktCapS,u1D516
LtnSmGCircum.sc,gcircumflex.sc
MathFrktCapQ,u1D514
LtnSmUDiaerCaron,uni01DA
LtnSmIs,uniA76D
MathFrktCapT,u1D517
ModLowMacron,uni02CD
LtnSmEgAin,uniA725
LtnSupSmTurnedM,uni1D5A
LtnSmRamsHorn.GammaStyle,uni0264.GammaStyle
GrSmPhi,phi
LtnCapYStrk,uni024E
CySmADiaer.sc,uni04D3.sc
LtnCapOCircumTilde,uni1ED6
LtnSmSdwysOpnO,uni1D12
CySmKomiDe.sc,uni0501.sc
LtnCapAfricanD,uni0189
LtnCapDStrk,Dcroat
LtnSmACircumTilde.SngStory.VN,uni1EAB.SngStory.VN
CySmGheUpturn,uni0491
VulgFracSevenEighths,seveneighths
LtnSmCapZ,uni1D22
LtnSmTurnedA.sc,uni0250.sc
LtnSmI.LP,i.LP
LtnCapGHook,uni0193
GrLunateEpsilon,uni03F5
LtnCapCCaron,Ccaron
CySmDeCheLig,uni052D
LtnSmUOgonek.RetroHook.sc,uogonek.RetroHook.sc
LtnCapAUDigraph,uniA736
LtnSmGBreve,gbreve
CySmTe.Serb,uni0442.Serb
LtnSmADotBlw.SngStory,uni1EA1.SngStory
TnLtrSeg52,compTnLtrSeg52
TnLtrSeg53,compTnLtrSeg53
RtMidParen,uni239F
TnLtrSeg51,compTnLtrSeg51
GrSmOmegaWDasiaYpo,uni1FA1
TnLtrSeg54,compTnLtrSeg54
LtnSmOBreve.sc,obreve.sc
Colon,colon
ModRaisedExclamationMrk,uniA71D
ModSmCapLDep,uniF1BF
LtnCapRCaron,Rcaron
LtnSupSmUpsilonDep,uniF1B1
CombCircumGrave.VNLP,uni0302_gravecomb.VNLP
SmRomNumTwo,uni2171
LtnSmTurnedA.2StorySItal,uni0250.2StorySItal
TnLtrNineSeg56,uniF1F5F1F6
LtnSupSmCCurl,uni1D9D
LtnSmRCedilla,rcommaaccent
LtnSmECircumTilde.LP,uni1EC5.LP
LtnCapACaron,uni01CD
LtnSmACircumAcute.2StorySItal.VN.LP,uni1EA5.2StorySItal.VN.LP
ModSmPhiDep,uniF1C3
CopCapEie,uni2C88
LtnSmNLineBlw.sc,uni1E49.sc
LtnSmABreveHookAbv.VN.LP,uni1EB3.VN.LP
GrCapEpsilonWPsiliOxia,uni1F1C
LtnSmAOgonek,aogonek
LtnSmKDotBlw,uni1E33
LtnCapCDotAbv,Cdotaccent
LtnSmACircumAcute.VN.LP,uni1EA5.VN.LP
LtnSmIOgonek.Dotless,iogonek.Dotless
LtnSmDotlessJStrkHook.DblSerif,uni0284.DblSerif
VS4.ShowInv,uniFE03.ShowInv
LtnSmKStrk,uniA741
CySmSha.sc,uni0448.sc
TnLtrNineSeg51,uniF1F5F1F1
LtnSmDotlessJStrkHook,uni0284
GrCapOmegaWPsiliVariaPros,uni1FAA
LtnSmARtHalfRing.2StorySItal,uni1E9A.2StorySItal
DotLftStemTnLtr2,uniA710
DotLftStemTnLtr3,uniA70F
DotLftStemTnLtr1,uniA711
DotLftStemTnLtr4,uniA70E
DotLftStemTnLtr5,uniA70D
LtnSmBDotAbv,uni1E03
LtnSmVRtHookDep,uniF25F
TnLtrNineSeg76,uniF1F7F1F6
GrCapOmegaWDasiaVariaPros,uni1FAB
TnLtrNineSeg31.Lines,uniF1F3F1F1.Lines
LtnSmOpnERetrHookDep,uniF239
LtnSmNLngRtLeg.sc,uni019E.sc
RingAbv,ring
LtnSmKRtDiagStrk,uniA743
CySmEm.sc,uni043C.sc
LtnSmXDiaer.LP,uni1E8D.LP
LtnSmAe.2StorySItal,ae.2StorySItal
CyCapSchwaDiaer,uni04DA
CombLftAngBlw,uni0349
EmptySet,emptyset
LtnCapBBarredLowStemDep,uniF20A
GrDialPeris.Por,uni1FC1.Por
CyCapShcha,uni0429
TnLtrNineSeg77,uniF1F7
CyCapWe,uni051C
LtnCapPDotAbv,uni1E56
LtnSmECircumTilde.sc,uni1EC5.sc
LtnSmCStrk,uni023C
LtnSmACircumDotBlw.SngStory.sc,uni1EAD.SngStory.sc
CySmCheVertStrk,uni04B9
LtnSmADblGrave.SngStory.sc,uni0201.SngStory.sc
LtnCapOTilde,Otilde
CySmA.sc,uni0430.sc
CyCapIeBreve,uni04D6
CySmNje.sc,uni045A.sc
DotLftStemTnLtr4Dep,uniF1DB
LtnSmABreveTilde.VN,uni1EB5.VN
LtnCapEDblGrave,uni0204
TnContRt42,uni02E6.2
AcuteAccent,acute
LtnSmZAcute,zacute
LtnSmWGrave.sc,wgrave.sc
GrCapEpsilonWTonos,Epsilontonos
GrSmUpsilonWDialPeris.Por,uni1FE7.Por
FrenchFrancSgn,franc
LtnSmDMiddleTildeDep,uniF24A
LtnSmCDotAbv.LP,cdotaccent.LP
LtnSmXDotAbv.sc,uni1E8B.sc
LtnSmYAcute.sc,yacute.sc
CySmDeCheLig.sc,uni052D.sc
CyCapKa,uni041A
LtnSmQHook,uni02A0
TnLtrNineSeg54.Lines,uniF1F5F1F4.Lines
CySmYeru.sc,uni044B.sc
LtnCapAeAcute,AEacute
LtnSmNDiagStrk.sc,uniA7A5.sc
GrCapYot,uni037F
CySmO.sc,uni043E.sc
RupeeSgn,uni20A8
LtnSmLBrkn,uniA747
LtnSmKCaron.sc,uni01E9.sc
LtnCapCuatrillo,uniA72C
ModSmTrndRHook,uni02B5
LtnCapARingBlw,uni1E00
LtnSmXPalHookDep,uniF232
ModLftArrwhd,uni02C2
LtnSupSmLRetrHookDep,uniF1AA
DigitSeven.Sophia,compDigitSeven
ModAcuteAccent.ChinantecTn,uni02CA.ChinantecTn
GrSmEtaWPsiliOxiaYpo,uni1F94
LtnSmIDiaer,idieresis
CySmGheStrkHook.SItal,uni04FB.SItal
LtnSmCapTurnedE,uni2C7B
LftBtmCurlyBrac,uni23A9
LtnWynn.sc,uni01BF.sc
TnContLft33,uniA714.3
TnContLft31,uniA716.3
TnContLft34,uniA713.3
TnContLft35,uniA712.3
LtnSmUTilde,utilde
LtnSupSmG.SngBowl,uni1D4D.SngBowl
Increment,Delta
LtnSmEzhHookDep,uniF21C
LtnCapAHookAbv,uni1EA2
LtnSmUDiaerMacron,uni01D6
LtnSmBLftMidHook,uniA797
LtnSmEt.sc,uniA76B.sc
LtnSmHLineBlw,uni1E96
CySmKomiSje,uni050D
CyCapCheDiaer,uni04F4
TnLtrNineSeg42.Lines,uniF1F4F1F2.Lines
LtnSmNDiagStrk,uniA7A5
EmDash,emdash
LtnSmHPalHook,uniA795
VulgFracOneThird,onethird
CyCapYu,uni042E
SqrTxtBracLowLftDep,uniF134
LtnCapRDotBlwMacron,uni1E5C
ZeroWidthNonJoiner.ShowInv,uni200C.ShowInv
LtnSmACircumGrave.2StorySItal.VN.LP,uni1EA7.2StorySItal.VN.LP
GrSmOmegaWDasiaVariaYpo,uni1FA3
TnLtrNineSeg86.Lines,uniF1F8F1F6.Lines
TnLtrSpcPointLeft,compTnLtrSpcPointLeft
LtnSmABreveGrave.sc,uni1EB1.sc
RtParen.Sophia,compRtParen
LtnSmUBar.sc,uni0289.sc
ModSmCapIStrk,uni1DA7
CyCapYa,uni042F
GrCapRhoWDasia,uni1FEC
LtnCapOStrkAcute,Oslashacute
LtnSmEMacron.sc,emacron.sc
LtnSmFHook.sc,florin.sc
LftStemTnLtr1Dep,uniF1D4
GrSmOmegaWDasia,uni1F61
CyCapYi,uni0407
LtnSmIDiaer.SItal,idieresis.SItal
ModSmPhi,uni1DB2
LtnSmACircumDotBlw.sc,uni1EAD.sc
LtnSmIOgonek.sc,iogonek.sc
Comma.Sophia,compComma
LtnSmLDotBlw,uni1E37
Therefore,uni2234
CyCapIDiaer,uni04E4
LtnSmACircumTilde.VN,uni1EAB.VN
LtnSmZDotBlw.SItal,uni1E93.SItal
GrCapEtaWDasiaPeris.Por,uni1F2F.Por
LtnSmCapW,uni1D21
LtnSmHDesc.sc,uni2C68.sc
LtnSmACircumAcute.2StorySItal.VN,uni1EA5.2StorySItal.VN
LtnCapYCircum,Ycircumflex
LtnSmFMiddleTildeDep,uniF24B
TnLtrNineSeg22,uniF1F2
CySmYu,uni044E
LtnSmZDotAbv.LP,zdotaccent.LP
CySmYi,uni0457
LtnSmABreveTilde.2StorySItal,uni1EB5.2StorySItal
GrCapEtaWDasiaPerisPros.Por,uni1F9F.Por
CySmYa,uni044F
TnLtrNineSeg25,uniF1F2F1F5
LtnSmUHornHookAbv.sc,uni1EED.sc
LtnSmEng,eng
LtnSmOHorn.sc,ohorn.sc
GrCapIotaWDasia,uni1F39
GrSmUpsilonWDialPeris,uni1FE7
LtnSmABreveDotBlw.2StorySItal,uni1EB7.2StorySItal
ModSmRevGlottalStop,uni02E4
LtnCapLMiddleTildeDep,uniF242
LtnCapXDiaer,uni1E8C
LtnSmRInvBreve.sc,uni0213.sc
VulgFracOneSixth,uni2159
CySmEnLftHook.sc,uni0529.sc
CySmGheStrk.SItal,uni0493.SItal
FemOrdIndicator,ordfeminine
LtnSmABreveGrave.SngStory.sc,uni1EB1.SngStory.sc
LtnCapSDotAbv,uni1E60
CombRtArrwhdDwnArrwhdBlw,uni1DFF
LtnSmHDesc,uni2C68
LtnSmIDotAbv.sc,idotaccent.sc
ThreeEmDash,uni2E3B
Hyphen,uni2010
GrTonos,tonos
LtnCapMAcute,uni1E3E
LtnCapNLngRtLeg,uni0220
GrYot,uni03F3
SupEqSgn,uni207C
LtnSmUpsilonOverSmSchwa,uniF259
LtnCapHStrk,Hbar
LtnSmSharpS,germandbls
GrCapOmegaWDasiaVaria,uni1F6B
LtnSmSDotAbv.LP,uni1E61.LP
SqrTxtBracLowLftShort,uni231E
LtnSmABreveAcute.SngStory.sc,uni1EAF.SngStory.sc
LtnSmBMiddleTildeDep,uniF249
CyCapZheDesc,uni0496
ModRtHalfRing,uni02BE
LtnCapPHook,uni01A4
LtnSmBLftMidHook.sc,uniA797.sc
LtnSmNCaron,ncaron
LtnSmSAcuteDotAbv.LP,uni1E65.LP
GrSubSmBeta,uni1D66
CySmGhe.Serb,uni0433.Serb
ModGraveAccent,uni02CB
ModUnaspd,uni02ED
TnContRt51,uni02E5.1
TnLtrNineSeg91,uniF1F9F1F1
GrCapEtaWDasiaVariaPros,uni1F9B
LtnSmThornHighStrk,uniA765
TnContRt55,uni02E5.5
LtnSmHBreveBlw.sc,uni1E2B.sc
LtnSmTPalHook,uni01AB
CySmYu.sc,uni044E.sc
GrSmIotaWVrachy,uni1FD0
LtnSmWCircum,wcircumflex
LtnCapNDesc,uniA790
GrCapAlphaWDasiaOxia,uni1F0D
LtnSmABreveGrave.SngStory,uni1EB1.SngStory
LtnSmPHook,uni01A5
LtnSmURingAbv.sc,uring.sc
LtnSupSmE,uni1D49
CheckMrk,uni2713
LtnSmUDiaerMacron.LP,uni01D6.LP
YenSgn,yen
LtnCapYHook.RtHook,uni01B3.RtHook
CyCapEnMiddleHook,uni0522
CySmZhe,uni0436
GrSmEtaWPsiliVaria,uni1F22
CyCapGheStrk,uni0492
ModUpArrwhd,uni02C4
CySmBarredODiaer,uni04EB
LtnSmIStrk.Dotless,uni0268.Dotless
GrCapEtaWVaria,uni1FCA
CombVertLineBlw,uni0329
TnLtrNineSeg57.Lines,uniF1F5F1F7.Lines
CySmKa,uni043A
LtnSmCCaron.sc,ccaron.sc
CombTildeOverlay.Lrg,uni0334.Lrg
LtnSubSmI.Dotless,uni1D62.Dotless
LtnSmITildeBlw.LP,uni1E2D.LP
GrPros,uni1FBE
TnLtrDot2,compTnLtrDot2
TnLtrDot3,compTnLtrDot3
TnLtrDot1,compTnLtrDot1
LtnCapHalfH,uni2C75
LtnCapLTrnd,uniA780
LtnSmYDiaer.LP,ydieresis.LP
TnLtrDot5,compTnLtrDot5
LtnCapWynn,uni01F7
GrSmOmegaWVaria,uni1F7C
LtnSmLMiddleTilde.sc,uni026B.sc
TnLtrNineSeg48.Lines,uniF1F4F1F8.Lines
LtnSmPStrkDep,uniF210
GrSmOmegaWPsiliVaria,uni1F62
CySmShha.sc,uni04BB.sc
TnLtrNineSeg45,uniF1F4F1F5
LtnSmNj.LP,uni01CC.LP
CySmKomiDje.sc,uni0503.sc
LtnCapDSmZCaron.LP,uni01C5.LP
VulgFracOneNinth,uni2151
LtnCapNDotAbv,uni1E44
GrCapUpsilonWDasiaPeris,uni1F5F
CircumAccent,asciicircum
LtnSmNLftHook.LCStyle,uni0272.LCStyle
LtnSmUHornTilde,uni1EEF
CombBreve.CyShortMrkAlt.UCHt,uni0306.CyShortMrkAlt.UCHt
CyCapUkrainIe,uni0404
GrSmUpsilonWTonos,upsilontonos
LtnSmOMacronAcute,uni1E53
Apos,quotesingle
LtnSmEzh.sc,uni0292.sc
ModVertLine,uni02C8
VulgFracOneFifth,uni2155
LtnSmRAcute,racute
